,Unnamed: 0,ID,Nom/Description,Type,ville,localisation,latitude,longitude,capacité,lits,chambres,sale de bain
21,21,22568676,Centre Rex Opéra,entire_home,Paris,Opéra - Grands Boulevards,48.8723166778,2.3487955035,4,3,2,1.0
22,22,23179840,LIEU UNIQUE DANS PARIS,entire_home,Paris,Buttes-Chaumont - Belleville,48.872360960200005,2.37755945,4,2,1,1.0
23,23,2760689,Cosy studio - Place des Vosges/Marais,entire_home,Paris,Saint-Paul - Ile Saint-Louis,48.8527309869,2.3634852403999997,2,1,0,1.0
24,24,23871255,Modern 1 Bedroom 1 Bath Near Arc de Triomphe,entire_home,Paris,Champs-Elysées,48.874373648100004,2.3048240623,2,1,1,1.0
25,25,170599,Sunny modern studio in Gambetta,entire_home,Paris,Père Lachaise - Ménilmontant,48.867559846400006,2.4026462456,2,1,1,1.0
26,26,24248060,Charmant studio calme dans un quartier très vivant,entire_home,Paris,Pigalle - Saint-Georges,48.8814809684,2.3427679207,2,1,0,1.0
27,27,24488632,APPT CHARMANT ET MODERNE - RIVE GAUCHE,entire_home,Paris,Montparnasse,48.8480851299,2.3212067659,4,2,1,1.0
28,28,164255,Perfect place in Le Marais - Paris,entire_home,Paris,3e arrondissement,48.8613976778,2.3642991029,4,2,1,1.0
29,29,167998,"Cosy Luxe, Louvre, Opera, St.Honoré",entire_home,Paris,Madeleine - Vendôme,48.8660561973,2.3304002325999997,4,3,2,1.0
30,30,25702020,Appartement de charme dans le Marais,entire_home,Paris,Saint-Paul - Ile Saint-Louis,48.8546408229,2.3580454106,6,3,3,1.0
31,31,25766867,Light and cozy apartment at Trocadero,entire_home,Paris,Passy,48.8649507282,2.2829650622999997,2,2,1,1.0
32,32,26556587,Paris-Montmartre Charming & Cosy Appartment,entire_home,Paris,Pigalle - Saint-Georges,48.8816604595,2.3336617167,2,1,1,1.0
33,33,27154367,Twin room between Gare du Nord and Gare de l'Est,private_room,Paris,Gare du Nord - Gare de I'Est,48.880016909700004,2.3519375038,2,1,1,1.0
34,34,183599,Champs Elysees Chic- Charming ,entire_home,Paris,Monceau,48.874600695,2.3132841401,3,1,1,1.0
35,35,28030890,Romantique studio Paris centre. Au pied du metro,entire_home,Paris,Châtelet - Les Halles - Beaubourg,48.8598228417,2.3455318332,2,1,1,1.0
36,36,1139385,Studio Paris 9 proche Sacré-Coeur,entire_home,Paris,,48.882326989,2.3453969983,2,1,0,1.0
37,37,222707,romantique apt au pied  Montmartre,entire_home,Paris,Pigalle - Saint-Georges,48.8822451117,2.3327336333,2,1,1,1.0
38,38,262557,Joli studio 2 pièces Rue de Lancry - Bonsergent,entire_home,Paris,République,48.870674925500005,2.3619549498,2,1,1,1.0
39,39,277555,Luxueuse chambre près du Marais,private_room,Paris,République,48.8628666668,2.3741111596,3,1,1,1.0
40,40,287037,A room for the night an the rest...,private_room,Paris,Buttes-Chaumont - Belleville,48.873257738199996,2.3860859566999997,1,1,1,1.0
41,41,287932,Apt 10 min de Montmartre et d'Opéra,entire_home,Paris,Pigalle - Saint-Georges,48.875774577600005,2.3419752719,4,1,1,1.0
42,42,289572,Appartement - Quartier Tour Eiffel,entire_home,Paris,Invalides - Ecole Militaire,48.8533655467,2.3098814583,4,2,1,1.0
43,43,334292,Charming 2br haussmannian 50 sqm on garden,entire_home,Paris,Père Lachaise - Ménilmontant,48.8686002404,2.3952256048,2,2,2,1.0
44,44,344390,Sous le soleil Parisien - Opéra,entire_home,Paris,Gare du Nord - Gare de I'Est,48.87932820859999,2.347267396,2,1,1,1.0
45,45,370340,The real  Paris : Le Haut Marais,entire_home,Paris,3e arrondissement,48.8653893792,2.360764483,2,2,2,1.0
46,46,404530,Charme+Soleil Paris Opéra 80 m2,entire_home,Paris,Opéra - Grands Boulevards,48.8726738616,2.3400156505000003,3,2,2,1.0
47,47,406852,Maison de Charme Atypique à Paris,entire_home,Paris,Père Lachaise - Ménilmontant,48.8618117496,2.4028498217,8,5,3,3.0
48,48,422409,UNIQUE APT DS MAISON/TRIPLEX MARAIS,entire_home,Paris,Châtelet - Les Halles - Beaubourg,48.863000350600004,2.3538027130000003,4,1,1,1.0
49,49,447208,Le plus charmant apt Paris Louvre,entire_home,Paris,Palais Royal,48.8669125462,2.3437854034,3,2,1,1.0
50,50,451629,3 pièces terrasse près de Bastille ,entire_home,Paris,11e arrondissement,48.8521627253,2.3866688738,3,2,2,1.0
51,51,452822,"2 rooms, 50m² - Canal Saint Martin",entire_home,Paris,Canal Saint-Martin,48.8737973023,2.3641809234,4,2,1,1.0
52,52,459950,"CALME et SPACIEUX LOFT, 11e, BASTILLE/NATION",entire_home,Paris,11e arrondissement,48.8509872111,2.3877196549,3,2,2,2.0
53,53,463726,L'appartement aux 1000 secrets,entire_home,Paris,Saint-Paul - Ile Saint-Louis,48.8524357025,2.3614444045,4,2,2,2.0
54,54,470446,INDEPENDANT1 STUDIO PARIS CENTER,private_room,Paris,Le Marais,48.8590461985,2.3563482812,2,2,1,1.0
55,55,474612,"Spacious, quiet loft, rue Oberkampf",entire_home,Paris,11e arrondissement,48.8665123733,2.3827166926,7,7,4,2.0
56,56,559493,Le Marais very cosy & elegant 2BR,entire_home,Paris,3e arrondissement,48.864536480299996,2.3638886129,3,2,2,1.0
57,57,579343,Cosy 60 m² 2 real rooms with patio,entire_home,Paris,Buttes-Chaumont - Belleville,48.8725350846,2.3894394893,4,2,2,1.0
58,58,593465,"Typical parisian ""pied a terre""",entire_home,Paris,Ternes,48.882548092600004,2.2926876266,4,1,1,1.0
59,59,595610,charme et calme au coeur de Paris,entire_home,Paris,Panthéon,48.845554713,2.3552876225999997,5,4,1,1.0
60,60,603267,Luxury cosy flat on CHAMPS ELYSEES,entire_home,Paris,Champs-Elysées,48.87246066149999,2.3028261477000003,4,2,1,1.0
61,61,611897,Studio Paris Centre Chatelet/Halles,entire_home,Paris,Châtelet - Les Halles - Beaubourg,48.8644705589,2.3464273362,2,1,1,1.0
62,62,688223,Appartement tendance coeur de Paris,entire_home,Paris,Madeleine - Vendôme,48.87095863890001,2.3237762632,4,1,1,1.0
63,63,728396,"Élégance, Confort & Charme Parisien",entire_home,Paris,République,48.8681864976,2.3688861107,2,1,1,1.0
64,64,745338,Saint Germain des Prés - Notre Dame,entire_home,Paris,Saint Germain des Prés - Odéon,48.856219635500004,2.3383114381,2,1,1,1.0
65,65,757733,Superbe appartement Paris centre,entire_home,Paris,Saint Germain des Prés - Odéon,48.8538549846,2.3433937199,2,1,1,1.0
66,66,761399,top center front Beaubourg MuseummodernArtMarais,entire_home,Paris,Châtelet - Les Halles - Beaubourg,48.858468361499995,2.3505639362,5,3,2,1.5
67,67,762171,Loft - Paris 6/St Germain des Prés,entire_home,Paris,Saint Germain des Prés - Odéon,48.8541967038,2.3397747936,5,3,2,1.5
68,68,768731,G04518 Superb studio Paris Marais,entire_home,Paris,Le Marais,48.8568774045,2.3591875069999997,2,1,0,1.0
69,69,782786,Typique 2P parisien à Ménilmontant,entire_home,Paris,11e arrondissement,48.867887572,2.3803973178,4,2,1,1.0
70,70,793331,Superbe Studio Cosy - quartier branché Oberkampf,entire_home,Paris,République,48.8661028563,2.3755239328,2,1,1,1.0
71,71,814262,Studette idéalement située Place des Ternes,entire_home,Paris,,48.8803030816,2.2996144477000002,2,1,1,1.0
72,72,822948,New 43 m2 1 bdr on Canal St. Martin,entire_home,Paris,Canal Saint-Martin,48.878722459799995,2.3672230054,3,2,1,1.0
73,73,824785,Lovely Flat Near Montmartre - 40mn from Airport,entire_home,Paris,Gare du Nord - Gare de I'Est,48.8801424396,2.3488920549000003,6,5,3,1.0
74,74,830268,Luxury Architect Duplex Tour Eiffel,entire_home,Paris,Tour Eiffel - Champ de Mars,48.851809825699995,2.2942086916999997,6,3,2,2.5
75,75,846592,L'Oasis de Sévigné - Saint Paul,entire_home,Paris,,48.8566650924,2.3633572214,2,1,1,1.0
76,76,862407,Flat front of Eiffel Tower,entire_home,Paris,Tour Eiffel - Champ de Mars,48.8594684158,2.2962716269,2,1,1,1.0
77,77,862705,Le Marais flat near Pl. des Vosges,entire_home,Paris,Le Marais,48.8575367413,2.3647365504,3,2,2,1.0
78,78,863566,Champs Elysées! Mini appart ! 8 m²,entire_home,Paris,Champs-Elysées,48.8751606965,2.2877452987,2,1,0,0.5
79,79,865472,Apartment Paris Nation,entire_home,Paris,11e arrondissement,48.851738,2.3911029999999998,5,4,3,2.0
80,80,869842,Loft au pied de la Tour Eiffel,entire_home,Paris,,48.8589676383,2.2881815693000003,4,1,1,1.0
81,81,892158,Bel appt au coeur de Paris Marais,entire_home,Paris,Le Marais,48.8598844627,2.353976163,6,3,2,1.0
82,82,907739,Canal Saint Martin - 64m2 - Balcon,entire_home,Paris,République,48.8716682929,2.3629459014,4,1,1,1.0
83,83,916839,studio center of Paris - 2 people,entire_home,Paris,Palais Royal,48.8669004439,2.3361055788,2,1,1,1.0
84,84,932668,Ile-Saint-Louis...The best of Paris,entire_home,Paris,Saint-Paul - Ile Saint-Louis,48.851949365900005,2.3576971999,2,1,1,1.5
85,85,985898,Sunny Bright Big and Safe near Bastille/Marias!,private_room,Paris,Saint-Paul - Ile Saint-Louis,48.852553611400005,2.364782018,2,2,1,1.5
86,86,993592,Eiffel Quai de Seine,entire_home,Paris,Commerce - Dupleix,48.8463052773,2.2795234299000002,6,4,2,2.0
87,87,994435,"MARAIS 15th-Century 4-bed, 4.5 bath",entire_home,Paris,Le Marais,48.8588839168,2.3544419592,8,4,4,4.5
88,88,28751412,Malesherbes Monceau Monsen,entire_home,Paris,Monceau,48.8809227893,2.3145684852,2,1,0,1.0
89,89,1008724,Joli appartement  Paris-Bastille-Aligre,entire_home,Paris,Bastille,48.852936603,2.379713937,4,2,2,1.0
90,90,1031007,Sorbonne Notre Dame idéal avec enfants,entire_home,Paris,,48.848486853999994,2.3500554149,5,5,2,1.5
91,91,1038815,VUE PANORAMIQUE SUR  PARIS,entire_home,Paris,Bastille,48.8606572168,2.3730796082,4,2,2,2.0
92,92,1048793,Appartement 2 pièces Paris 20ième,entire_home,Paris,Buttes-Chaumont - Belleville,48.8734626432,2.3967284041,2,1,1,1.0
93,93,1055073,Charmant et confortable 2-pièces,entire_home,Paris,Buttes-Chaumont - Belleville,48.8797817563,2.3904455413999997,4,1,1,1.0
94,94,1070274,Studio with Panoramic view of Paris,entire_home,Paris,Buttes-Chaumont - Belleville,48.873607595100005,2.3959702191,3,1,1,1.0
95,95,1083545,Charmant -Marais - Hotel de Ville ,entire_home,Paris,,48.86145056,2.3537641107,5,3,2,1.0
96,96,1085564,ARC DE TRIOMPHE-PTE MAILLOT 110m2,entire_home,Paris,Ternes,48.8804741046,2.2930928628,4,3,2,1.5
97,97,1102053,Au calme en plein coeur de Paris !,entire_home,Paris,,48.8787814758,2.3460696783,5,3,3,2.0
98,98,1110935,"REX HOUSE - Central, lumineux, cosy",entire_home,Paris,Opéra - Grands Boulevards,48.872033780699994,2.3491257059,6,3,2,1.0
99,99,1117899,★ App'Art de Charme ★,entire_home,Paris,Saint-Lazare,48.878174074300006,2.3280924981,3,1,1,1.0
100,100,1126419,"11è, Duplex 90m2, 5 chambres. 8 pers. 9 maximum",entire_home,Paris,République,48.8664406859,2.3654213038,9,6,5,2.0
101,101,1126705,Grand appartement Parc de Passy,entire_home,Paris,Passy,48.854307500299996,2.2828144168,5,5,3,2.0
102,102,1128202,MAGNIFIQUE APPARTEMENT PARIS CENTRE,entire_home,Paris,Invalides - Ecole Militaire,48.8494057831,2.3108491943000002,5,4,3,2.0
103,103,1176558,Beau  appartement Parisien de 90m2,entire_home,Paris,3e arrondissement,48.863854914799994,2.3646556351,2,2,2,1.0
104,104,1185329,Charmant 2 pièces Marché St Honoré,entire_home,Paris,,48.8650433406,2.3324857555,3,1,1,1.0
105,105,1204369,Nice studio: heart of trendy Paris,entire_home,Paris,2e arrondissement,48.86728900520001,2.3484621539,2,1,1,1.0
106,106,1205915,COZY 108 m² QUARTIER MARAIS PARIS,entire_home,Paris,Le Marais,48.8607546823,2.3642356556,6,3,3,1.5
107,107,1222997,Appartement famillial centre Paris,entire_home,Paris,Gare du Nord - Gare de I'Est,48.8771533953,2.3456002007,8,6,4,2.0
108,108,22885596,"Clear, spacious room with large private bathroom",private_room,Paris,Châtelet - Les Halles - Beaubourg,48.8666277074,2.3450028205,2,1,1,2.0
109,109,1226049,"Charming flat,Champs-Elysées,8th",entire_home,Paris,Champs-Elysées,48.8666282357,2.3034262126,4,2,1,1.0
110,110,1234750,Duplex loft with amazing terrace!,entire_home,Paris,11e arrondissement,48.8604739031,2.3766688281,3,2,2,1.0
111,111,1235441,"Suffren, appartement standing 15è",entire_home,Paris,Tour Eiffel - Champ de Mars,48.850230430799996,2.2991586756999998,4,1,1,1.0
112,112,1241014,Confortable atelier-loft familial,entire_home,Paris,Père Lachaise - Ménilmontant,48.864881662200006,2.3888830313,6,4,3,2.0
113,113,1243020,Charming studio arts et métier,entire_home,Paris,Le Marais,48.863652233,2.3591928842,1,1,1,1.0
114,114,1265134,Boulevard St Germain -Musée d'Orsay,entire_home,Paris,Louvre - Tuileries,48.8587024211,2.3277856647,3,2,1,1.0
115,115,1274994,APPARTEMENT PRÈS DU CANAL ST MARTIN,entire_home,Paris,10e arrondissement,48.8719875318,2.369589368,6,3,3,1.0
116,116,1277299,PENTHOUSE 5/6 PEOPLE  EIFFEL TOWER,entire_home,Paris,Tour Eiffel - Champ de Mars,48.860523,2.298684,6,3,3,1.0
117,117,1285661,Triplex calme et lumineux Paris 10e,entire_home,Paris,Gare du Nord - Gare de I'Est,48.87509303109999,2.3495555966999997,6,4,4,2.0
118,118,1290999,"Grand duplex, comme une maison.",entire_home,Paris,Bastille,48.860058,2.375424,7,4,3,2.0
119,119,1309152,Studio Proche Pigalle / Montmartre,entire_home,Paris,Pigalle - Saint-Georges,48.8794889096,2.3401911363,2,1,1,1.0
120,120,1311786,Calm & cozy apartment - Canal St Martin,entire_home,Paris,République,48.8698017667,2.3653839071,2,2,1,1.0
121,121,1327106,Freshly renovated & fully equipped,entire_home,Paris,,48.8810880586,2.2945745725999998,2,2,1,1.0
122,122,1351671,Grand loft en plein coeur du Marais.,entire_home,Paris,3e arrondissement,48.8637927298,2.3641442658000003,6,3,3,2.0
123,123,1363473,SUNNY ROOM IN EXCEPTIONAL PENTHOUSE,private_room,Paris,République,48.8671806925,2.3747355835,2,1,1,1.0
124,124,1367612,Charmant Studio aux Buttes Chaumont,entire_home,Paris,Buttes-Chaumont - Belleville,48.8804152312,2.3754625715,2,1,0,1.0
125,125,1373705,Saint Germain beautiful bright flat,entire_home,Paris,Saint Germain des Prés - Odéon,48.8545044752,2.3398571655000002,4,3,1,1.0
126,126,1390849,COSY AND CALM APT / EIFFEL TOWER,entire_home,Paris,Commerce - Dupleix,48.854247311,2.2887926936,2,2,1,1.5
127,127,1398893,Charming old parisian atelier,entire_home,Paris,Buttes-Chaumont - Belleville,48.8733079913,2.3803887902,2,1,1,1.0
128,128,1399821,APPARTEMENT SAINT GERMAIN DES PRES,entire_home,Paris,Invalides - Ecole Militaire,48.8595287136,2.3177012764,4,2,1,1.0
129,129,1409596,Appartement Zen Oberkampf,entire_home,Paris,République,48.8684310699,2.3779920923,2,1,1,1.0
130,130,1409619,Grand APT de CHARME / Oberkampf,entire_home,Paris,République,48.8622249054,2.3730224335,5,3,3,1.0
131,131,1410564,"Beautiful Studio with Garden Views, full of light",entire_home,Paris,Invalides - Ecole Militaire,48.856731070200006,2.3213853992,1,1,1,1.0
132,132,1413841,Séjournez près de la Tour Eiffel,entire_home,Paris,Tour Eiffel - Champ de Mars,48.85109703689999,2.3001990461,8,4,3,2.0
133,133,28422035,Collection room near Eiffel Tower,private_room,Paris,Auteuil,48.8501147353,2.2754923278,2,1,1,1.0
134,134,1430881,"Fleur de Rosiers, 1Ch/1Sdb, 3 pers.",entire_home,Paris,Le Marais,48.857532840299996,2.3586555547,3,1,1,1.0
135,135,1609286,HAUSSMANN OPERA MADELEINE A,entire_home,Paris,Saint-Lazare,48.8751123892,2.3226536203,4,2,1,1.0
136,136,1543524,G05493 Familly apart 2BR Notre Dame,entire_home,Paris,Panthéon,48.8466732774,2.3541125616,4,3,2,1.0
137,137,1638909,Surf a coach in beautiful district,shared_room,Paris,Canal Saint-Martin,48.878594343100005,2.3649746088,1,1,1,1.0
138,138,1644892,Parisian chic appartment Paris IX,entire_home,Paris,Gare du Nord - Gare de I'Est,48.8802859276,2.3488914116,3,2,1,1.0
139,139,1649031,"Petit Veneur, 1BR/1BA for 4 people",entire_home,Paris,Le Marais,48.859955883999994,2.3666787532,4,1,1,1.5
140,140,1670308,Tour Eiffel | Village Saint Charles,entire_home,Paris,Commerce - Dupleix,48.845419436099995,2.281729054,6,4,2,1.0
141,141,1711246,Beaubourg-Marais nice 2 room apt with AC,entire_home,Paris,Le Marais,48.857922180699994,2.3519052091,4,2,1,1.0
142,142,1726821,Cosy 3 rooms in Montparnasse,entire_home,Paris,Montparnasse,48.8457115346,2.3214637442,4,2,2,1.0
143,143,1730252,G11180 lovely duplex near Bastille,entire_home,Paris,Bastille,48.8511395083,2.373499125,4,2,2,1.0
144,144,1732026,Bel appartement avec terasse au coeur du Marais,entire_home,Paris,,48.861440545600004,2.3557222703,4,2,1,1.0
145,145,1765734,  Sous les toits de l'île Saint-Louis,entire_home,Paris,,48.851371506599996,2.3560341221,5,3,2,1.5
146,146,1758586,Superbe studio au cœur du Marais,entire_home,Paris,Le Marais,48.8574740157,2.3545622588,2,1,0,1.0
147,147,1803915,DUPLEX AVEC TERRASSE BIEN SITUE ,entire_home,Paris,Bastille,48.860243636199996,2.3736237003,2,1,1,2.0
148,148,1957441,SUPERBE APPARTEMENT DE 110m2 SPACIEUX ET LUMINEUX,entire_home,Neuilly-sur-Seine,17e arrondissement,48.8815542698,2.2786927975,6,4,3,2.0
149,149,1967791,"Beautiful 60 m2 apartment,courtyard",entire_home,Paris,Buttes-Chaumont - Belleville,48.876961663500005,2.3916098482,4,4,2,1.0
150,150,28422062,Design Silver room with Private Rooftop & Jacuzzi,private_room,Paris,Auteuil,48.849589662700005,2.2734438028999997,2,1,1,1.0
151,151,2013516,"Petit studio confortable , calme,a",entire_home,Paris,Pigalle - Saint-Georges,48.8776258984,2.3347280487,2,1,1,1.0
152,152,2040791,"Beautiful rooftop flat Louvre, the heart of Paris",entire_home,Paris,Châtelet - Les Halles - Beaubourg,48.8625328589,2.3485071524000003,4,2,1,1.0
153,153,2063886,Luxury 2 bedroom apartment ,entire_home,Paris,Tour Eiffel - Champ de Mars,48.8513204731,2.2942148501,4,2,2,2.0
154,154,2158345,Beau 3 pièces 65m2 Bastille/Nation,entire_home,Paris,11e arrondissement,48.8512769797,2.3872881404,5,2,2,1.5
155,155,2158913,Studio Arc de triomphe,entire_home,Paris,Ternes,48.879154754300004,2.291277123,2,1,0,1.0
156,156,2162251,THE PLACE TO BE    Elysees Matignon,entire_home,Paris,Madeleine - Vendôme,48.872556556999996,2.3154077659,4,2,1,1.0
157,157,2163046,2 bed Rms R Bretagne Paris 3 Marais,entire_home,Paris,Le Marais,48.8624381977,2.3621256468,4,2,2,1.0
158,158,2167122,St-Germain-des-Près/Odeon + terrace,entire_home,Paris,Saint Germain des Prés - Odéon,48.854113400799996,2.3388832564,2,1,0,1.0
159,159,28774896,5 min to invalides and 10 min to eiffel tower,entire_home,Paris,Invalides - Ecole Militaire,48.8529147809,2.314519009,2,1,1,1.0
160,160,2293583,LOVELY NEST MARAIS AREA,entire_home,Paris,Le Marais,48.8600252096,2.3657287544,2,1,0,1.0
161,161,2259473,Adorable chambre près du Louvre,entire_home,Paris,Châtelet - Les Halles - Beaubourg,48.860893,2.342219,3,2,1,1.0
162,162,2404406,UN BIJOU FACE A NOTRE DAME,entire_home,Paris,Saint-Michel,48.851974,2.346607,2,1,0,1.0
163,163,2351015,studette,entire_home,Paris,Invalides - Ecole Militaire,48.8475308859,2.3072949026,1,1,0,0.5
164,164,2359875,2 pièces 30 m2 Canal St Martin,entire_home,Paris,10e arrondissement,48.876910244799994,2.3709139875,2,1,1,1.0
165,165,2364662,Le nid d'un Décorateur,entire_home,Paris,Montmartre,48.8825458062,2.3370343187000002,4,2,1,1.0
166,166,2389340,"Rouge Baiser, 1Ch/1Sdb, 4 personnes",entire_home,Paris,Châtelet - Les Halles - Beaubourg,48.8648307412,2.3473417828,4,1,1,1.5
167,167,3088369,Shared room in Saint-Germain-des-Prés,shared_room,Paris,,48.852844,2.334886,1,1,1,1.0
168,168,2461466,Loft/Duplex-Fashion Week-Louvre-Opéra-Vendôme,entire_home,Paris,Madeleine - Vendôme,48.866698122399995,2.3325278029,2,1,1,1.5
169,169,2467750,CHARMING DUPLEX PENTHOUSE WITH SPECTACULAR VIEW,entire_home,Paris,Invalides - Ecole Militaire,48.857542743500005,2.3166917395,2,1,1,1.0
170,170,2485119,Super studio Trocadero Tour Eiffel,entire_home,Paris,Passy,48.860201905699995,2.2853280717,4,2,0,1.0
171,171,2498301,Beautiful loft style apt (Drouot),entire_home,Paris,Opéra - Grands Boulevards,48.8708224846,2.3403889006,2,1,1,1.0
172,172,2501795,Haussmanien familial / 4 ch (130m2) + balcon,entire_home,Paris,Gare du Nord - Gare de I'Est,48.882586241999995,2.3496735285,6,4,4,1.5
173,173,2511095,G15594 One bedroom in the 15th area,entire_home,Paris,Vaugirard,48.8457939592,2.3053800391999997,3,2,1,1.0
174,174,2530770,Dernier étage avec vues incroyables,entire_home,Paris,Père Lachaise - Ménilmontant,48.8593097354,2.3911200647,4,3,2,1.0
175,175,2576959,Nice & quiet flat at Père Lachaise,entire_home,Paris,11e arrondissement,48.857484504300004,2.3883984913,4,4,2,1.0
176,176,2581464,PARIS village - B&B avec jardin privatif,private_room,Paris,Buttes-Chaumont - Belleville,48.8747199935,2.3797269325,2,1,1,1.0
177,177,2588319,Bel appartement quartier Marais,entire_home,Paris,3e arrondissement,48.867991546899994,2.3597980809,5,3,3,1.5
178,178,2612592,Elegance and modernity in Paris,entire_home,Paris,Tour Eiffel - Champ de Mars,48.8578150187,2.2980623233,4,2,2,2.0
179,179,2615923,Luxury Apartment on Monceau Park,entire_home,Paris,Monceau,48.876382224,2.3102715222,6,6,2,1.0
180,180,2719440,"Paris, here I am!",entire_home,Paris,Invalides - Ecole Militaire,48.848023423,2.3183817981,2,1,1,1.0
181,181,2728429,Flat -  Baby equipped - Etoile,entire_home,Paris,Ternes,48.8775511808,2.2914450725,2,2,2,1.0
182,182,2750782,Appart avec veranda sur jardin,entire_home,Paris,Passy,48.8573117004,2.2808869598,6,2,2,1.0
183,183,2751876,Chambre privée Paris 11ème,private_room,Paris,11e arrondissement,48.857918972600004,2.3815874205000003,2,2,1,1.0
184,184,2804962,Cosy flat / calm / Aligre&Bastille,entire_home,Paris,Bastille,48.846899794399995,2.3779426250999998,2,1,1,1.0
185,185,2823976,"Lovely room, authentic neighborhood",private_room,Paris,Père Lachaise - Ménilmontant,48.8610913797,2.4010683501,2,2,1,1.0
186,186,2840718,Movie star large flat,entire_home,Paris,Gare du Nord - Gare de I'Est,48.8760184785,2.3514031416,8,5,4,3.0
187,187,2851021,BEAUTIFUL PARIS just next Gare Lyon,entire_home,Paris,Bastille,48.8484008989,2.3719550633,4,2,1,1.0
188,188,2874271,(110m²) Luxury Classic Apartment,entire_home,Paris,Tour Eiffel - Champ de Mars,48.8590780155,2.29809013,6,5,3,2.0
189,189,2891649,Beau 2 pièces - Prix spécialEté !,entire_home,Paris,11e arrondissement,48.85816358,2.389710628,2,1,1,1.0
190,190,2961404,EXCEPTIONAL LOCATION: EIFFEL TOWER!,entire_home,Paris,Tour Eiffel - Champ de Mars,48.8666889207,2.2910231835,4,2,1,1.0
191,191,2961618,Appartement Hotel de Ville.,entire_home,Paris,,48.854938124499995,2.3572087374,4,2,1,1.0
192,192,3023839,Appartement Île Saint Louis,entire_home,Paris,Saint-Paul - Ile Saint-Louis,48.8530079501,2.3550156707,4,2,1,1.0
193,193,3063827,Amazing flat for 9 + garden+parking (charged),entire_home,Paris,Gare du Nord - Gare de I'Est,48.8748851023,2.3494175563,9,4,4,2.0
194,194,3074332,3 pièces ensoleillé proche du Canal St Martin,entire_home,Paris,Canal Saint-Martin,48.8744166928,2.3667115147,4,3,2,1.0
195,195,3118226,Le charme d' Oberkampf !,entire_home,Paris,République,48.8671714338,2.3785869394,2,1,0,1.0
196,196,3127963,Nice private room in vivid neighborhood,private_room,Paris,Père Lachaise - Ménilmontant,48.8676569262,2.389490201,2,1,1,1.0
197,197,3128994,"Duplex -terrasse, Montorgueil coeur de Paris",entire_home,Paris,Châtelet - Les Halles - Beaubourg,48.8667577076,2.3483471701,4,2,2,1.0
